Student ID,Roll No,Branch,Batch
01571ef5-40f0-4109-a455-e63dd3c42aad,ROLL001,IT,
f24e67c8-f8b3-4fb5-ab2f-71cbd0d305ee,ROLL002,ECE,
ed8c6999-bf42-4fc7-895b-8eb9531f00b8,ROLL003,CSE,
af2ef3a6-40e3-4fff-ada5-12f9e62dd22b,ROLL004,CSE,
32cac714-6d93-4cf0-b562-1c7793fff533,ROLL005,CSE,
c491ce92-8166-4e4b-bdf2-42c95ed19c04,ROLL006,ECE,
ab4dadd1-4d21-453a-a7fa-b9f338f93d8d,ROLL007,CSE,
79701dc5-7644-45c5-bd50-a506d893c5ba,ROLL008,CSE,
96b8d8dc-54e4-41b5-a1e9-ad0dbe5096d8,ROLL009,ECE,
90f4d0b9-11a5-4e59-bebe-7b0ca0309c56,ROLL010,CSE,
6deda34f-3ccb-454a-ade4-d715212b942c,ROLL011,IT,
8954b757-c975-4fd3-b9a6-a5ec3176e50e,ROLL012,CSE,
64943fb9-6e7d-48d3-8aed-a39561867457,ROLL013,IT,
8f8e48d5-279d-4648-b192-8fc611a4e6c2,ROLL014,IT,
e3691ba1-59d5-4d87-be93-d64e18bdd45c,ROLL015,CSE,
e87a584b-6216-4d39-8ab1-affef816081a,ROLL016,CSE,
cb2df419-53c2-443d-a3ba-bb6dc0fa2d38,ROLL017,IT,
cb80df41-136d-4d95-a556-2c965c03ff22,ROLL018,IT,
93613028-9733-4b7c-8fca-335d494e63eb,ROLL019,CSE,
d4bfe99c-3f2c-4297-aa76-902c95def729,ROLL020,IT,
9bddf7ac-bbc4-4d55-bcca-7cf21a57752c,ROLL021,ECE,
d50b4366-f42a-4a5a-a646-59531dcef286,ROLL022,IT,
58f90713-a764-4f5d-bf6f-59b50e6e4847,ROLL023,ECE,
ffdbb454-880e-4599-bbea-209a20dc1a3a,ROLL024,CSE,
11082d17-706d-4b29-90b8-a10b2de759fc,ROLL025,ECE,
e491aeec-6ecc-412b-9f97-efaea6dffbc0,ROLL026,IT,
73670251-c5c1-4ff3-a006-bf31d99b6f4c,ROLL027,CSE,
9c289eb7-1893-42f5-a1e1-18805e70aef1,ROLL028,CSE,
436c6b4f-b48a-48bd-9f53-df1ea9c6f063,ROLL029,CSE,
f58cb1ef-4846-4a1c-956d-45fc0c45daf9,ROLL030,ECE,
b28241f3-ef83-4b89-86e5-bf70f6b14c4d,ROLL031,CSE,
3d804d91-a049-46e8-820d-886659b1a976,ROLL032,IT,
a9ae47e8-76ff-41ea-a755-d6b375cb6ea5,ROLL033,CSE,
af6130f8-294c-48c8-81c8-6ac55962be84,ROLL034,CSE,
0080cc61-804f-4b7d-b02e-85153f471db4,ROLL035,IT,
0570f2d7-d093-4e4e-8fde-b3a24516fa31,ROLL036,IT,
d320969b-dfff-48e8-9722-bcf20815a998,ROLL037,IT,
e5f2b0e0-5619-440a-a38c-6357cbaa9b56,ROLL038,CSE,
72f7f5df-4a28-4063-9153-245930065abe,ROLL039,CSE,
99994dd8-f3f8-45b8-86b0-65bfddc57384,ROLL040,IT,
3f3810ab-9859-4a4b-a021-d6026c26f27c,ROLL041,CSE,
00ee7f8b-0ce4-4e9f-88ea-4af72d76be34,ROLL042,ECE,
4c53b838-0b05-425f-bab2-5a667953dc8b,ROLL043,IT,
2362ea48-4668-4c29-ac3b-b620939d4e85,ROLL044,CSE,
e4b138a2-b736-45bd-add0-662e90a2672a,ROLL045,IT,
52954bba-dbd5-45cd-ba04-76cad2390263,ROLL046,ECE,
4a8e774a-d9df-4c7d-ba31-14da528efdda,ROLL047,ECE,
96993d50-e7b3-4fce-8144-1012468bfd42,ROLL048,CSE,
a4c77e41-438c-48d3-aeed-1f74e3c13155,ROLL049,ECE,
8fec0c93-f4af-4a55-a55d-ba53c5d38e0d,ROLL050,ECE,
b38f5570-73b7-4090-bc06-924d5522e4d5,PENDING001,CSE,2024
e4070dcb-bf25-488d-9d77-599235449dd2,PENDING002,CSE,2024
118b0b3d-dceb-4ff9-b37b-3d7378376853,PENDING003,CSE,2024
00a22fd5-de26-4f86-b104-33efe4ec51e4,PENDING004,CSE,2024
4f09df2d-7370-4be2-a813-4e8441024774,PENDING005,CSE,2024
